Recognition Score,Temporal Memory Score,,
91,86,,93.11555556
95,78,,78.02666667
95,56,,
91,81,,
100,75,,
87,80,,
91,95,,
95,91,,
91,81,,
91,86,,
100,79,,
100,87,,
95,73,,
79,78,,
91,81,,
100,95,,
100,70,,
100,95,,
83,90,,
95,73,,
91,86,,
95,73,,
100,100,,
70,82,,
95,100,,
45,54,,
100,79,,
95,78,,
83,70,,
95,78,,
70,82,,
100,87,,
95,73,,
79,42,,
95,86,,
95,73,,
95,86,,
72,54,,
87,61,,
95,78,,
95,82,,
91,86,,
92,68,,
78,79,,
87,71,,
100,75,,
79,89,,
95,91,,
80,83,,
95,95,,
100,87,,
83,80,,
191,80,,
75,72,,
92,68,,
24,22,,
83,50,,
68,68,,
91,77,,
76,78,,
95,56,,
79,94,,
95,73,,
91,86,,
100,83,,
50,83,,
91,86,,
100,95,,
95,82,,
95,78,,
91,90,,
200,70,,
95,60,,
100,79,,
87,85,,
100,86,,
87,76,,
100,86,,
95,86,,
95,74,,
75,83,,
91,90,,
10,10,,
87,85,,
95,78,,
91,59,,
100,87,,
62,80,,
87,76,,
187,92,,
75,61,,
85,66,,
87,57,,
91,77,,
92,68,,
70,70,,
100,83,,
79,63,,
191,82,,
100,79,,
79,68,,
100,91,,
91,77,,
79,68,,
95,78,,
92,68,,
92,68,,
62,66,,
100,83,,
100,83,,
91,81,,
100,75,,
92,68,,
92,68,,
95,91,,
100,87,,
100,95,,
95,86,,
91,95,,
100,87,,
79,84,,
100,75,,
87,80,,
95,86,,
79,78,,
191,65,,
83,90,,
92,68,,
91,81,,
70,64,,
100,83,,
91,90,,
100,83,,
100,75,,
100,75,,
95,86,,
87,80,,
91,86,,
100,95,,
183,77,,
92,77,,
87,71,,
100,87,,
79,89,,
91,72,,
95,86,,
15,25,,
91,95,,
100,87,,
79,68,,
79,73,,
87,71,,
95,91,,
95,73,,
80,70,,
87,85,,
70,70,,
79,89,,
79,89,,
87,61,,
100,79,,
83,80,,
95,43,,
91,84,,
92,68,,
95,86,,
100,83,,
95,73,,
75,92,,
95,78,,
91,78,,
100,83,,
100,91,,
100,95,,
92,86,,
95,60,,
100,100,,
95,78,,
100,91,,
100,84,,
100,87,,
100,87,,
92,87,,
100,87,,
91,77,,
91,54,,
87,85,,
137,66,,
100,70,,
91,81,,
91,81,,
91,81,,
200,68,,
104,86,,
95,65,,
83,70,,
92,68,,
83,70,,
70,64,,
100,83,,
100,100,,
100,87,,
91,68,,
95,69,,
91,77,,
91,86,,
68,83,,
91,95,,
100,83,,
65,85,,
91,72,,
100,91,,
95,91,,
91,63,,
90,91,,
83,90,,
100,70,,
100,87,,
87,66,,
95,82,,
162,79,,
100,100,,
87,68,,
87,61,,
79,63,,