dentist,temp,age,year,pets,eggs,icons,emails,party
1,30,26,1987,0,0,8,0,30
10,10,69,1944,0,0,8,0,0
10,20,39,1974,1,0,34,500,60
5,,26,1987,0,12,22,1267,0
3,15,31,1982,0,3,28,1,30
12,7,42,1971,1,12,14,0,60
0,21,52,1961,3,22,6,0,15
3,6,43,1970,2,9,29,20,0
0,15,53,1960,0,6,20,10,30
10,15.5,32,1981,2,7,150,0,-10
8,21,15,1998,0,23,6,21,-30
5,24,44,1969,0,8,57,649,15
6,22,66,1947,0,6,1,0,0
14,15.5,25,1988,2,36,22,0,90
9,15,41,1972,7,0,20,5,0
3,,37,1976,0,3,55,1976,60
5,,49,1964,0,0,13,0,-5
3,10,36,1977,0,0,10,1,0
10,15.5,45,1968,0,24,42,5,15
5,10,45,1968,2,8,35,0,10
4,,42,1971,3,0,24,0,30
1,21,28,1985,0,0,117,8969,15
1,19,56,1957,2,1,0,7,30
1,24,60,1953,0,15,60,30,15
5,18.3,26,1987,0,20,20,20,30
1,21,30,1983,0,0,too many,8,30
5,21,26,1987,0,24,24,9,30
7,18,30,1983,0,9,4,0,30
10,24,24,1989,1,5,0,0,60
4,18.3,25,1988,1,15,16,0,15
5,22,24,1989,1,0,20,120,0
2,18.3,41,1972,1,6,11,2,-10
10,15.5,27,1986,0,0,15,98,60
15,20,35,1978,0,7,23,0,0
4,11,30,1983,0,0,0,2,30
1,10,30,1983,0,0,0,1,10
25,21,34,1979,0,8,12,3,2
10,21,25,1988,1,19,0,24,30
1,21,26,1987,0,9,0,0,60
5,13,27,1986,0,8,2,0,90
4,21,28,1985,0,18,too many,25,60
1,15.5,28,1985,0,0,20,848,30
3,24,28,1985,0,5,3,7642,120
7,24,39,1974,0,5,10,0,15
15,24,31,1982,0,10,15,1082,60
10,21,51,1962,0,18,30,2,20
5,25,35,1978,0,0,28,0,60
8,21,25,1988,0,10,18,38,60
10,10,27,1986,0,15,7,3,0
4,15.5,37,1976,0,16,27,702,30
5,21,30,1983,0,0,0,6,30
8,13,28,1985,0,0,3,6,15
8,10,63,1950,7,30,30,6,60
10,20,34,1979,0,0,25,0,180
20,7,32,1981,0,3,78,0,0
10,18,39,1974,3,8,9,0,15
10,10,49,1964,5,5,25,15,30
10,20,25,1988,0,0,12,51,60
1,15,50,1963,3,6,5,0,15
3,18.3,28,1985,0,36,0,0,9
1,24,29,1984,0,7,8,516,-10