Animal,Gestation (days),Longevity (years)
Baboon,187,20
"Bear, Black",219,18
"Bear, Grizzly",225,25
"Bear, Polar",240,20
Beaver,105,5
Buffalo,285,15
Camel,406,12
Cat,63,12
Chimpanzee,230,20
Chipmunk,31,6
Cow,284,15
Deer,201,8
Dog,61,12
Donkey,365,12
Elephant,645,40
Elk,250,15
Fox,52,7
Giraffe,457,10
Goat,151,8
Gorilla,258,20
Guinea pig,68,4
Hippopotamus,238,41
Horse,330,20
Kangaroo,36,7
Leopard,98,12
Lion,100,15
Monkey,164,15
Moose,240,12
Mouse,21,3
Opossum,13,1
Pig,112,10
Puma,90,12
Rabbit,31,5
Rhinoceros,450,15
Sea lion,350,12
Sheep,154,12
Squirrel,44,10
Tiger,105,16
Wolf,63,5
Zebra,365,15